rectangle,78,43,42,60,1.0,-16777216,null
rectangle,158,58,18,5,1.0,-16777216,null
oval,293,59,22,26,1.0,-16777216,null
oval,358,62,31,42,1.0,-16777216,null
oval,301,209,33,33,6.0,-65536,-16776961
rectangle,452,282,25,18,6.0,-65536,-16776961
oval,434,86,31,42,1.0,-16777216,null
group,453,285,0,0,1.0,-65536,-16776961
rectangle,499,277,25,18,6.0,-65536,-16776961
group,432,253,64,99,1.0,-65536,-16776961
group,454,229,0,0,1.0,-65536,-16776961
rectangle,432,230,25,18,6.0,-65536,-16776961
rectangle,479,225,25,18,6.0,-65536,-16776961
group,412,201,64,99,1.0,null,null
